행정동_코드,행정동_코드_명,medical,education,shopping,bank,gov,culture,intercity,intracity
11500535,등촌3동,21.0,13.0,0.0,3.0,6.0,1.0,0.0,55.0
11500530,등촌2동,7.0,8.0,0.0,0.0,3.0,0.0,0.0,8.0
11500520,등촌1동,11.0,1.0,0.0,5.0,1.0,1.0,0.0,20.0
11500510,염창동,16.0,4.0,0.0,3.0,5.0,0.0,0.0,37.0
11470680,신정7동,8.0,8.0,0.0,2.0,3.0,0.0,0.0,31.0
11470670,신정6동,2.0,4.0,0.0,6.0,7.0,0.0,0.0,31.0
11470650,신정4동,18.0,7.0,0.0,8.0,3.0,0.0,0.0,19.0
11470640,신정3동,15.0,9.0,0.0,1.0,4.0,0.0,0.0,82.0
11470630,신정2동,7.0,4.0,0.0,1.0,3.0,0.0,0.0,20.0
11470620,신정1동,9.0,5.0,0.0,3.0,7.0,0.0,0.0,26.0
11470611,신월7동,10.0,3.0,0.0,1.0,6.0,0.0,0.0,21.0
11470610,신월6동,6.0,3.0,0.0,2.0,1.0,0.0,0.0,15.0
11470600,신월5동,4.0,5.0,0.0,0.0,3.0,0.0,0.0,12.0
11470590,신월4동,6.0,4.0,0.0,1.0,2.0,0.0,0.0,11.0
11470580,신월3동,7.0,7.0,0.0,1.0,2.0,0.0,0.0,8.0
11470570,신월2동,6.0,5.0,0.0,1.0,3.0,0.0,0.0,12.0
11470560,신월1동,12.0,1.0,0.0,3.0,3.0,0.0,0.0,9.0
11470550,목5동,13.0,11.0,0.0,9.0,8.0,0.0,0.0,52.0
11470540,목4동,9.0,4.0,0.0,3.0,3.0,0.0,0.0,14.0
11470530,목3동,11.0,2.0,0.0,4.0,3.0,0.0,0.0,7.0
11470520,목2동,14.0,4.0,0.0,2.0,3.0,1.0,0.0,19.0
11470510,목1동,22.0,6.0,0.0,12.0,5.0,2.0,0.0,31.0
11440740,상암동,14.0,8.0,1.0,11.0,10.0,0.0,0.0,108.0
11440730,성산2동,13.0,7.0,1.0,3.0,6.0,1.0,0.0,49.0
11440720,성산1동,5.0,7.0,0.0,2.0,4.0,1.0,0.0,29.0
11440710,연남동,2.0,4.0,0.0,1.0,2.0,0.0,0.0,23.0
11440700,망원2동,6.0,3.0,0.0,1.0,4.0,0.0,0.0,33.0
11440690,망원1동,11.0,0.0,0.0,2.0,2.0,1.0,0.0,23.0
11440680,합정동,10.0,3.0,0.0,3.0,4.0,0.0,0.0,32.0
11440660,서교동,31.0,4.0,0.0,22.0,13.0,8.0,0.0,95.0
11440655,서강동,7.0,22.0,0.0,4.0,6.0,0.0,0.0,66.0
11440630,신수동,6.0,4.0,0.0,1.0,4.0,0.0,0.0,24.0
11440610,염리동,3.0,7.0,0.0,1.0,3.0,2.0,0.0,10.0
11440600,대흥동,18.0,32.0,0.0,5.0,5.0,3.0,0.0,41.0
11440590,용강동,11.0,3.0,0.0,6.0,7.0,0.0,0.0,25.0
11440585,도화동,15.0,3.0,0.0,7.0,4.0,2.0,0.0,39.0
11440565,공덕동,21.0,4.0,2.0,9.0,7.0,0.0,0.0,43.0
11440555,아현동,16.0,4.0,0.0,8.0,5.0,1.0,0.0,25.0
11410720,북가좌2동,12.0,2.0,0.0,3.0,3.0,0.0,0.0,39.0
11410710,북가좌1동,5.0,5.0,0.0,2.0,1.0,0.0,0.0,13.0
11410700,남가좌2동,12.0,14.0,0.0,4.0,4.0,0.0,0.0,24.0
11410690,남가좌1동,10.0,1.0,1.0,3.0,2.0,1.0,0.0,21.0
11410685,홍은2동,9.0,18.0,0.0,2.0,4.0,0.0,0.0,83.0
11410660,홍은1동,7.0,2.0,0.0,0.0,3.0,1.0,0.0,32.0
11410655,홍제2동,6.0,3.0,0.0,0.0,1.0,1.0,0.0,15.0
11410640,홍제3동,16.0,7.0,4.0,3.0,3.0,6.0,0.0,47.0
11410620,홍제1동,10.0,5.0,0.0,2.0,3.0,1.0,0.0,41.0
11410615,연희동,17.0,18.0,0.0,7.0,7.0,2.0,0.0,70.0
11410585,신촌동,23.0,115.0,1.0,10.0,6.0,7.0,0.0,62.0
11410565,충현동,7.0,31.0,0.0,8.0,9.0,0.0,0.0,61.0
11410555,북아현동,8.0,3.0,0.0,2.0,2.0,0.0,0.0,17.0
11410520,천연동,4.0,14.0,0.0,1.0,4.0,1.0,0.0,44.0
11380690,진관동,22.0,18.0,0.0,6.0,6.0,1.0,0.0,82.0
11380650,수색동,5.0,2.0,2.0,2.0,5.0,0.0,0.0,23.0
11380640,증산동,8.0,4.0,2.0,0.0,3.0,0.0,0.0,17.0
