행정동명,보증금(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade
상도1동,34000,59.816,11590530,17,28,0,4,5,0,0,49,동작구,0.03036414704,0.717196414,SAFE
상봉1동,26000,45.55,11260580,9,6,0,1,3,0,0,16,중랑구,0.0392110766,0.7772167876,NORMAL
상암동,57500,84.73,11440740,14,8,1,11,10,0,0,108,마포구,0.04814461946,0.7794911334,DANGER
상일1동,71400,84.23,11250760,9,13,0,2,4,0,0,37,강동구,0.04145064898,0.7492537313,NORMAL
서강동,59500,61.295,11440655,7,22,0,4,6,0,0,66,마포구,0.04814461946,0.7794911334,DANGER
서교동,24000,33,11440660,31,4,0,22,13,8,0,95,마포구,0.04814461946,0.7794911334,DANGER
서빙고동,25000,60.21,11170690,1,2,0,1,15,0,0,22,용산구,0.0411041958,0.7450331126,NORMAL
서초3동,56500,59.92,11650530,33,8,0,30,25,0,0,80,서초구,0.04687016667,0.772967265,NORMAL
석관동,21000,40.62,11290810,16,6,1,3,6,2,0,34,성북구,0.02702334847,0.8008241758,SAFE
석촌동,24850,41.17,11710600,29,5,0,7,3,0,0,20,송파구,0.06401959935,0.7325086973,DANGER
성내3동,26000,45.98,11740660,13,4,0,5,4,0,0,14,강동구,0.04145064898,0.7492537313,NORMAL
성북동,24250,48.095,11290525,6,13,0,4,6,0,0,55,성북구,0.02702334847,0.8008241758,SAFE
성산2동,30000,50.03,11440730,13,7,1,3,6,1,0,49,마포구,0.04814461946,0.7794911334,DANGER
성수1가1동,58900,59.885,11200650,4,5,0,2,4,1,0,34,성동구,0.02619433549,0.7132735002,SAFE
성수2가3동,26225,52.755,11200690,11,2,0,16,3,1,0,21,성동구,0.02619433549,0.7132735002,SAFE
세곡동,54000,74.74,11680700,9,9,0,1,4,0,0,95,강남구,0.07556391443,0.7483215982,DANGER
소공동,37000,44.48,11140520,10,8,1,29,13,6,0,40,중구,0.0365631844,0.7377326565,NORMAL
송정동,19000,34.95,11200720,6,1,0,0,2,0,0,17,성동구,0.02619433549,0.7132735002,SAFE
