행정동명,보증금(만원),임대료(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade,lat,lon
사당3동,4000.0,55.0,30.0,11590640,5,6,1,1,3,0,0,31,동작구,0.03036414704,0.717196414,SAFE,37.4866246436295,126.972085412956
사직동,1000.0,105.0,37.56,11110530,15,3,0,24,18,3,0,36,종로구,0.03421225207,1.174683544,NORMAL,37.5754222287938,126.96631967084
삼선동,3000.0,60.0,38.0,11290555,14,18,0,5,7,0,0,48,성북구,0.02702334847,0.8008241758,SAFE,37.5908295073389,127.014651562653
삼성2동,10000.0,110.0,53.86,11680590,11,3,0,11,10,0,0,32,강남구,0.07556391443,0.7483215982,DANGER,37.511263280788,127.046070584216
삼전동,8000.0,50.0,36.3,11710610,14,6,0,2,4,1,0,13,송파구,0.06401959935,0.7325086973,DANGER,37.5027233386057,127.092519707191
삼청동,3500.0,66.0,48.415,11110540,2,4,0,4,10,0,0,16,종로구,0.03421225207,1.174683544,NORMAL,37.5849977825639,126.981758302922
상계67동,3000.0,50.0,45.55,11110770,31,10,0,11,9,1,0,40,노원구,0.0383696903,0.7768461787,NORMAL,37.6548860243488,127.066965479758
상도1동,2000.0,52.0,20.0,11590530,17,28,0,4,5,0,0,49,동작구,0.03036414704,0.717196414,SAFE,37.5032426328398,126.94974984805
상봉1동,7542.0,50.0,26.4,11260580,9,6,0,1,3,0,0,16,중랑구,0.0392110766,0.7772167876,NORMAL,37.59984775288,127.087213355959
상암동,2498.0,60.0,25.48,11440740,14,8,1,11,10,0,0,108,마포구,0.04814461946,0.7794911334,DANGER,37.5783209050877,126.894689433213
상일1동,10000.0,50.0,59.97,11250760,9,13,0,2,4,0,0,37,강동구,0.04145064898,0.7492537313,NORMAL,37.5506429952456,127.164620395091
서강동,2000.0,59.0,25.01,11440655,7,22,0,4,6,0,0,66,마포구,0.04814461946,0.7794911334,DANGER,37.5477468723032,126.932030551178
서교동,2000.0,65.0,26.07,11440660,31,4,0,22,13,8,0,95,마포구,0.04814461946,0.7794911334,DANGER,37.5550949138083,126.914613374473
서빙고동,4000.0,73.0,64.97,11170690,1,2,0,1,15,0,0,22,용산구,0.0411041958,0.7450331126,NORMAL,37.5204623812775,126.994638088433
서초3동,5000.0,92.0,32.69,11650530,33,8,0,30,25,0,0,80,서초구,0.04687016667,0.772967265,NORMAL,37.4837080639573,127.01200750943
석관동,1000.0,50.0,31.39,11290810,16,6,1,3,6,2,0,34,성북구,0.02702334847,0.8008241758,SAFE,37.6129860183721,127.0614007785
석촌동,5000.0,53.0,29.97,11710600,29,5,0,7,3,0,0,20,송파구,0.06401959935,0.7325086973,DANGER,37.5035646306702,127.103667384036
성내3동,5000.0,50.0,30.25,11740660,13,4,0,5,4,0,0,14,강동구,0.04145064898,0.7492537313,NORMAL,37.5260568372238,127.13289932744
성북동,4000.0,56.0,34.03,11290525,6,13,0,4,6,0,0,55,성북구,0.02702334847,0.8008241758,SAFE,37.5910466093958,127.003274531869
성산2동,3000.0,70.0,20.57,11440730,13,7,1,3,6,1,0,49,마포구,0.04814461946,0.7794911334,DANGER,37.5686128513415,126.908969977715
성수1가1동,5000.0,100.0,40.72,11200650,4,5,0,2,4,1,0,34,성동구,0.02619433549,0.7132735002,SAFE,37.5420797008053,127.049651600525
성수2가3동,3000.0,70.0,32.28,11200690,11,2,0,16,3,1,0,21,성동구,0.02619433549,0.7132735002,SAFE,37.5482184239097,127.055250421934
세곡동,6000.0,70.0,26.78,11680700,9,9,0,1,4,0,0,95,강남구,0.07556391443,0.7483215982,DANGER,37.4644437055761,127.106760267266
소공동,2250.0,140.0,41.14,11140520,10,8,1,29,13,6,0,40,중구,0.0365631844,0.7377326565,NORMAL,37.5638997702146,126.97979400965
송정동,1000.0,50.0,30.0,11200720,6,1,0,0,2,0,0,17,성동구,0.02619433549,0.7132735002,SAFE,37.5545322586259,127.069569072089
송파2동,9000.0,55.5,35.445,11710590,11,9,0,1,3,0,0,7,송파구,0.06401959935,0.7325086973,DANGER,37.5023378540006,127.116766391715
수궁동,2500.0,47.0,46.51,11530790,5,10,1,1,3,0,0,72,구로구,0.04179710217,0.7291296625,NORMAL,37.4938815927112,126.831478611978
수색동,10000.0,100.0,59.96,11380650,5,2,2,2,5,0,0,23,은평구,0.03980499635,0.765620143,NORMAL,37.5835205431622,126.893690338772
수서동,10000.0,105.0,39.6,11680750,11,6,0,3,3,0,0,25,강남구,0.07556391443,0.7483215982,DANGER,37.4868187699686,127.105426218127
수유1동,1000.0,50.0,28.0,11305615,12,6,1,2,4,0,0,41,강북구,0.02832254792,0.9003931848,SAFE,37.6292195545746,127.007105243262
숭인2동,1000.0,62.0,22.42,11110710,5,0,2,3,4,3,0,8,종로구,0.03421225207,1.174683544,NORMAL,37.5748775396923,127.01996896628
