행정동명,보증금(만원),임대료(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade
염창동,12000,55,28.69,11500510,16,4,0,3,5,0,0,37,강서구,0.04959229884,0.8510479042,DANGER
영등포동,5000,52,21.905,11560535,41,2,0,17,10,17,0,42,영등포구,0.051559658,0.8032157427,DANGER
오금동,6378,44,40.08,11710570,13,12,0,5,5,0,0,30,송파구,0.06401959935,0.7325086973,DANGER
오류1동,1620,50,29.43,11530770,11,4,0,4,5,0,0,23,구로구,0.04179710217,0.7291296625,NORMAL
오류2동,6514,17,49.58,11530780,10,12,0,1,3,0,0,87,구로구,0.04179710217,0.7291296625,NORMAL
오륜동,5000,70,28.135,11710566,6,19,0,6,4,0,0,18,송파구,0.06401959935,0.7325086973,DANGER
옥수동,15000,189,68.58,11200645,10,6,0,2,4,0,0,47,성동구,0.02619433549,0.7132735002,SAFE
왕십리2동,10000,80,40.94,11200520,5,2,0,0,2,0,0,19,성동구,0.02619433549,0.7132735002,SAFE
왕십리도선동,5000,60,23.61,11200535,22,6,0,4,4,0,0,26,성동구,0.02619433549,0.7132735002,SAFE
용강동,3000,85,37.065,11440590,11,3,0,6,7,0,0,25,마포구,0.04814461946,0.7794911334,DANGER
용답동,2000,60.5,25.195,11200790,8,1,1,2,7,0,0,13,성동구,0.02619433549,0.7132735002,SAFE
용문동,10000,75,44.635,11170590,3,0,0,0,1,0,0,22,용산구,0.0411041958,0.7450331126,NORMAL
용산2가동,1000,70,41.85,11170520,4,5,0,0,3,0,0,30,용산구,0.0411041958,0.7450331126,NORMAL
용신동,2000,65,25.23,11230536,25,4,1,8,10,5,0,46,동대문구,0.03979262302,0.7717661692,NORMAL
우이동,1000,42,36.84,11305645,7,4,0,0,2,0,0,57,강북구,0.02832254792,0.9003931848,SAFE
원효로1동,10000,78,33.958,11170560,6,5,4,3,6,0,0,31,용산구,0.0411041958,0.7450331126,NORMAL
원효로2동,4000,70,47.1,11170570,4,5,2,2,4,0,0,27,용산구,0.0411041958,0.7450331126,NORMAL
월계2동,2000,50,33.75,11350570,5,23,0,0,4,0,0,65,노원구,0.0383696903,0.7768461787,NORMAL
월곡2동,1000,50,19.83,11290725,12,15,0,4,6,0,0,36,성북구,0.02702334847,0.8008241758,SAFE
위례동,6627,33,49.93,11710647,5,5,0,1,3,0,0,32,송파구,0.06401959935,0.7325086973,DANGER
은천동,2000,53,21,11620605,9,5,0,0,6,0,0,43,관악구,0.05549437632,0.7839464883,DANGER
을지로동,5000,175,42.998,11140605,13,0,1,10,5,5,0,24,중구,0.0365631844,0.7377326565,NORMAL
응봉동,15000,103,59.975,11200580,2,2,0,0,3,0,0,31,성동구,0.02619433549,0.7132735002,SAFE
응암3동,3000,50,36.615,11380600,17,5,2,3,3,0,0,31,은평구,0.03980499635,0.765620143,NORMAL
이문1동,1000,55,25,11230740,13,35,0,2,5,0,0,27,동대문구,0.03979262302,0.7717661692,NORMAL
이촌2동,20000,200,84.89,11170640,1,0,0,0,2,0,0,11,용산구,0.0411041958,0.7450331126,NORMAL
이태원1동,1000,90,48.05,11170650,3,1,3,5,8,0,0,15,용산구,0.0411041958,0.7450331126,NORMAL
이화동,1750,60,26.52,11110640,12,39,0,4,4,0,0,29,종로구,0.03421225207,1.174683544,NORMAL
자양4동,2000,60,30.12,11215847,16,2,1,2,5,1,0,17,광진구,0.03551145152,0.7731707317,NORMAL
잠실6동,30000,180,84.79,11710710,24,2,0,17,4,1,0,15,송파구,0.06401959935,0.7325086973,DANGER
잠실본동,10000,78,43.45,11710650,25,1,0,9,5,0,0,13,송파구,0.06401959935,0.7325086973,DANGER
장안1동,3285,53,29.53,11230650,30,6,0,11,5,0,0,44,동대문구,0.03979262302,0.7717661692,NORMAL
장위1동,5000,45,39.9,11290760,8,8,0,1,4,0,0,37,성북구,0.02702334847,0.8008241758,SAFE
장지동,5800,70,27.53,11710646,10,7,0,3,4,1,0,42,송파구,0.06401959935,0.7325086973,DANGER
장충동,2000,61.5,27.975,11140580,1,4,0,2,6,3,0,14,중구,0.0365631844,0.7377326565,NORMAL
전농1동,2000,60,29.6,11230560,14,6,0,2,5,6,0,38,동대문구,0.03979262302,0.7717661692,NORMAL
정릉3동,1000,50,26,11290640,2,33,0,1,4,0,0,38,성북구,0.02702334847,0.8008241758,SAFE
제기동,1000,56,21,11230545,23,8,3,5,4,14,0,31,동대문구,0.03979262302,0.7717661692,NORMAL
종로1234가동,1000,74,23.14,11010610,47,7,1,35,19,22,0,72,종로구,0.03421225207,1.174683544,NORMAL
종로56가동,1500,75,20.552,11010630,31,2,4,8,7,3,0,24,종로구,0.03421225207,1.174683544,NORMAL
종암동,2000,52,30,11290705,18,10,0,2,7,0,0,56,성북구,0.02702334847,0.8008241758,SAFE
중계1동,3000,80,44.94,11350621,7,5,0,3,2,0,0,18,노원구,0.0383696903,0.7768461787,NORMAL
중곡2동,3000,50,33,11215750,14,2,0,4,2,0,0,23,광진구,0.03551145152,0.7731707317,NORMAL
중림동,6413,120,59.943,11140680,7,4,0,2,3,5,0,14,중구,0.0365631844,0.7377326565,NORMAL
중화2동,2000,47,33.41,11260610,14,0,2,3,2,0,0,35,중랑구,0.0392110766,0.7772167876,NORMAL
